Group,MortRate
Mammal,0.49
Bird,0.48
Bird,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Mammal,0.48
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Bird,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Mammal,0.47
Bird,0.46
Bird,0.46
Bird,0.46
Bird,0.46
Bird,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Mammal,0.46
Reptile,0.46
Bird,0.45
Bird,0.45
Bird,0.45
Bird,0.45
Bird,0.45
Bird,0.45
Bird,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Mammal,0.45
Bird,0.44
Bird,0.44
Bird,0.44
Bird,0.44
Bird,0.44
Bird,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Mammal,0.44
Bird,0.43
Bird,0.43
Bird,0.43
Bird,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Mammal,0.43
Bird,0.42
Bird,0.42
Bird,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Mammal,0.42
Bird,0.41
Bird,0.41
Bird,0.41
Bird,0.41
Bird,0.41
Bird,0.41
Bird,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Mammal,0.41
Bird,0.4
Bird,0.4
Bird,0.4
Bird,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Mammal,0.4
Bird,0.39
Bird,0.39
Bird,0.39
Bird,0.39
Bird,0.39
Bird,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Mammal,0.39
Amphib,0.39
Amphib,0.39
Bird,0.38
Bird,0.38
Bird,0.38
Bird,0.38
Bird,0.38
Bird,0.38
Bird,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Mammal,0.38
Reptile,0.38
Bird,0.37
Bird,0.37
Bird,0.37
Bird,0.37
Bird,0.37
Mammal,0.37
Mammal,0.37
Mammal,0.37
Mammal,0.37
Mammal,0.37
Mammal,0.37
Bird,0.36
Bird,0.36
Bird,0.36
Bird,0.36
Mammal,0.36
Mammal,0.36
Mammal,0.36
Mammal,0.36
Mammal,0.36
Mammal,0.36
Mammal,0.36
Mammal,0.36
Bird,0.35
Bird,0.35
Bird,0.35
Bird,0.35
Mammal,0.35
Mammal,0.35
Mammal,0.35
Mammal,0.35
Mammal,0.35
Mammal,0.35
Mammal,0.35
Mammal,0.35
Bird,0.34
Bird,0.34
Bird,0.34
Bird,0.34
Bird,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Mammal,0.34
Bird,0.33
Bird,0.33
Bird,0.33
Bird,0.33
Bird,0.33
Bird,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.33
Reptile,0.33
Reptile,0.33
Amphib,0.33
Amphib,0.33
Bird,0.32
Bird,0.32
Bird,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Mammal,0.32
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
Bird,0.31
