Group,MortRate
Bird,0.31
Bird,0.52
Bird,0.31
Bird,0.25
Bird,0.47
Bird,0.45
Bird,0.25
Bird,0.09
Bird,0.57
Bird,0.52
Bird,0.60
Bird,0.29
Bird,0.64
Bird,0.23
Bird,0.19
Bird,0.33
Bird,0.45
Bird,0.19
Bird,0.56
Bird,0.53
Bird,0.12
Bird,0.17
Bird,0.15
Bird,0.12
Bird,0.18
Bird,0.23
Bird,0.20
Bird,0.52
Bird,0.23
Bird,0.23
Bird,0.40
Bird,0.16
Bird,0.19
Bird,0.13
Bird,0.60
Bird,0.46
Bird,0.52
Bird,0.19
Bird,0.06
Bird,0.42
Bird,0.38
Bird,0.25
Bird,0.33
Bird,0.14
Bird,0.73
Bird,0.61
Bird,0.93
Bird,0.13
Bird,0.30
Bird,0.22
Bird,0.38
Bird,0.26
Bird,0.54
Bird,0.33
Bird,0.23
Bird,0.14
Bird,0.30
Bird,0.37
Bird,0.10
Bird,0.49
Bird,0.17
Bird,0.50
Bird,0.17
Bird,0.40
Bird,0.36
Bird,0.41
Bird,0.15
Bird,0.65
Bird,0.32
Bird,0.49
Bird,0.62
Bird,0.41
Bird,0.38
Bird,0.30
Bird,0.30
Bird,0.73
Bird,0.75
Bird,0.49
Bird,0.43
Bird,0.06
Bird,0.25
Bird,0.70
Bird,0.31
Bird,0.56
Bird,0.22
Bird,0.56
Bird,0.48
Bird,0.13
Bird,0.46
Bird,0.17
Bird,0.27
Bird,0.25
Bird,0.26
Bird,0.23
Bird,0.47
Bird,0.27
Bird,0.34
Bird,0.48
Bird,0.91
Bird,0.14
Bird,0.41
Bird,0.21
Bird,0.41
Bird,0.34
Bird,0.12
Bird,0.43
Bird,0.50
Bird,0.65
Bird,0.17
Bird,0.08
Bird,0.39
Bird,0.31
Bird,0.28
Bird,0.29
Bird,0.07
Bird,0.77
Bird,0.60
Bird,0.44
Bird,0.35
Bird,0.73
Bird,0.37
Bird,0.77
Bird,0.24
Bird,0.10
Bird,0.27
Bird,0.36
Bird,0.15
Bird,0.31
Bird,0.20
Bird,0.35
Bird,0.76
Bird,0.44
Bird,0.17
Bird,0.69
Bird,0.11
Bird,0.13
Bird,0.56
Bird,0.62
Bird,0.27
Bird,0.05
Bird,0.42
Bird,0.14
Bird,0.52
Bird,0.75
Bird,0.24
Bird,0.53
Bird,0.04
Bird,0.34
Bird,0.51
Bird,0.06
Bird,0.10
Bird,0.41
Bird,0.32
Bird,0.95
Bird,0.17
Bird,0.15
Bird,0.52
Bird,0.56
Bird,0.31
Bird,0.07
Bird,0.77
Bird,0.45
Bird,0.28
Bird,0.17
Bird,0.47
Bird,0.10
Bird,0.53
Bird,0.23
Bird,0.23
Bird,0.54
Bird,0.88
Bird,0.31
Bird,0.20
Bird,0.17
Bird,0.51
Bird,0.19
Bird,0.21
Bird,0.70
Bird,0.57
Bird,0.61
Bird,0.65
Bird,0.45
Bird,0.09
Bird,0.38
Bird,0.34
Bird,0.47
Bird,0.52
Bird,0.10
Bird,0.40
Bird,0.29
Bird,0.54
Bird,0.67
Bird,0.62
Bird,0.37
Bird,0.03
Bird,0.09
Bird,0.20
Bird,0.54
Bird,0.08
Bird,0.31
Bird,0.41
Bird,0.46
Bird,0.27
Bird,0.46
Bird,0.53
Bird,0.25
Bird,0.72
Bird,0.07
Bird,0.44
Bird,0.27
Bird,0.23
Bird,0.22
Bird,0.11
Bird,0.29
Bird,0.56
Bird,0.74
Bird,0.22
Bird,0.45
Bird,0.67
Bird,0.59
Bird,0.39
Bird,0.22
Bird,0.38
Bird,0.10
Bird,0.47
Bird,0.47
Bird,0.90
Bird,0.44
Bird,0.61
Bird,0.61
Bird,0.58
Bird,0.62
Bird,0.11
Bird,0.69
Bird,0.08
Bird,0.47
Bird,0.57
Bird,0.69
Bird,0.36
Bird,0.55
Bird,0.12
Bird,0.19
Bird,0.13
Bird,0.50
Bird,0.16
Bird,0.20
Bird,0.15
Bird,0.01
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.33
Mammal,0.50
Mammal,0.50
Mammal,0.25
Mammal,0.25
Mammal,0.60
Mammal,0.20
Mammal,0.60
Mammal,0.20
Mammal,1.00
Mammal,0.50
Mammal,0.83
Mammal,0.43
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.43
Mammal,0.57
Mammal,0.75
Mammal,0.25
Mammal,0.25
Mammal,0.56
Mammal,0.44
Mammal,0.33
Mammal,0.56
Mammal,0.33
Mammal,0.56
Mammal,0.56
Mammal,0.10
Mammal,0.40
Mammal,0.20
Mammal,0.90
Mammal,0.55
Mammal,0.27
Mammal,0.45
Mammal,0.33
Mammal,0.25
Mammal,0.25
Mammal,0.92
Mammal,0.15
Mammal,0.46
Mammal,0.31
Mammal,0.54
Mammal,0.23
Mammal,0.29
Mammal,0.07
Mammal,0.64
Mammal,0.29
Mammal,0.50
Mammal,0.29
Mammal,0.50
Mammal,0.50
Mammal,0.21
Mammal,0.29
Mammal,0.13
Mammal,0.07
Mammal,0.33
Mammal,0.33
Mammal,0.13
Mammal,0.40
Mammal,0.40
Mammal,0.56
Mammal,0.63
Mammal,0.13
Mammal,0.25
Mammal,0.50
Mammal,0.19
Mammal,0.13
Mammal,0.19
Mammal,0.31
Mammal,0.41
Mammal,0.76
Mammal,0.06
Mammal,0.47
Mammal,0.35
Mammal,0.72
Mammal,0.67
Mammal,0.50
Mammal,0.06
Mammal,0.11
Mammal,0.56
Mammal,0.28
Mammal,0.61
Mammal,0.58
Mammal,0.32
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.32
Mammal,0.21
Mammal,0.47
Mammal,0.53
Mammal,0.84
Mammal,0.26
Mammal,0.47
Mammal,0.35
Mammal,0.40
Mammal,0.85
Mammal,0.50
Mammal,0.35
Mammal,0.05
Mammal,0.15
Mammal,0.40
Mammal,0.30
Mammal,0.71
Mammal,0.19
Mammal,0.76
Mammal,0.19
Mammal,0.33
Mammal,0.50
Mammal,0.27
Mammal,0.32
Mammal,0.41
Mammal,0.23
Mammal,0.55
Mammal,0.17
Mammal,0.22
Mammal,0.39
Mammal,0.17
Mammal,0.17
Mammal,0.58
Mammal,0.50
Mammal,0.04
Mammal,0.29
Mammal,0.54
Mammal,0.04
Mammal,0.13
Mammal,0.96
Mammal,0.25
Mammal,0.52
Mammal,0.12
Mammal,0.44
Mammal,0.12
Mammal,0.12
Mammal,0.08
Mammal,0.12
Mammal,0.16
Mammal,0.65
Mammal,0.38
Mammal,0.15
Mammal,0.58
Mammal,0.23
Mammal,0.26
Mammal,0.41
Mammal,0.19
Mammal,0.26
Mammal,0.78
Mammal,0.48
Mammal,0.25
Mammal,0.04
Mammal,0.07
Mammal,0.14
Mammal,0.75
Mammal,0.32
Mammal,0.18
Mammal,0.14
Mammal,0.29
Mammal,0.36
Mammal,0.14
Mammal,0.14
Mammal,0.10
Mammal,0.38
Mammal,0.28
Mammal,0.31
Mammal,0.10
Mammal,0.38
Mammal,0.60
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.37
Mammal,0.70
Mammal,0.23
Mammal,0.20
Mammal,0.03
Mammal,0.32
Mammal,0.45
Mammal,0.47
Mammal,0.16
Mammal,0.21
Mammal,0.58
Mammal,0.39
Mammal,0.33
Mammal,0.30
Mammal,0.79
Mammal,0.03
Mammal,0.24
Mammal,0.18
Mammal,0.09
Mammal,0.41
Mammal,0.20
Mammal,0.77
Mammal,0.26
Mammal,0.46
Mammal,0.54
Mammal,0.14
Mammal,0.14
Mammal,0.39
Mammal,0.22
Mammal,0.31
Mammal,0.39
Mammal,0.69
Mammal,0.32
Mammal,0.49
Mammal,0.43
Mammal,0.51
Mammal,0.05
Mammal,0.30
Mammal,0.50
Mammal,0.08
Mammal,0.53
Mammal,0.13
Mammal,0.23
Mammal,0.49
Mammal,0.64
Mammal,0.28
Mammal,0.38
Mammal,0.38
Mammal,0.55
Mammal,0.65
Mammal,0.43
Mammal,0.33
Mammal,0.13
Mammal,0.15
Mammal,0.30
Mammal,0.25
Mammal,0.15
Mammal,0.49
Mammal,0.27
Mammal,0.63
Mammal,0.22
Mammal,0.22
Mammal,0.54
Mammal,0.44
Mammal,0.48
Mammal,0.21
Mammal,0.57
Mammal,0.24
Mammal,0.57
Mammal,0.31
Mammal,0.38
Mammal,0.38
Mammal,0.40
Mammal,0.63
Mammal,0.19
Mammal,0.19
Mammal,0.95
Mammal,0.21
Mammal,0.49
Mammal,0.16
Mammal,0.32
Mammal,0.43
Mammal,0.16
Mammal,0.45
Mammal,0.53
Mammal,0.80
Mammal,0.48
Mammal,0.20
Mammal,0.28
Mammal,0.24
Mammal,0.04
Mammal,0.30
Mammal,0.60
Mammal,0.06
Mammal,0.19
Mammal,0.45
Mammal,0.06
Mammal,0.17
Mammal,0.46
Mammal,0.44
Mammal,0.35
Mammal,0.58
Mammal,0.44
Mammal,0.43
Mammal,0.41
Mammal,0.24
Mammal,0.40
Mammal,0.28
Mammal,0.18
Mammal,0.46
Mammal,0.30
Mammal,0.26
Mammal,0.28
Mammal,0.56
Mammal,0.20
Mammal,0.31
Mammal,0.41
Mammal,0.69
Mammal,0.31
Mammal,0.59
Mammal,0.49
Mammal,0.63
Mammal,0.43
Mammal,0.45
Mammal,0.53
Mammal,0.46
Mammal,0.40
Mammal,0.62
Mammal,0.28
Mammal,0.49
Mammal,0.32
Mammal,0.02
Mammal,0.24
Mammal,0.44
Mammal,0.22
Mammal,0.18
Mammal,0.35
Mammal,0.51
Mammal,0.05
Mammal,0.20
Mammal,0.38
Mammal,0.18
Mammal,0.39
Mammal,0.09
Mammal,0.18
Mammal,0.27
Mammal,0.32
Mammal,0.58
Mammal,0.60
Mammal,0.16
Mammal,0.57
Mammal,0.45
Mammal,0.53
Mammal,0.40
Mammal,0.14
Mammal,0.40
Mammal,0.31
Mammal,0.36
Mammal,0.24
Mammal,0.20
Mammal,0.51
Mammal,0.47
Mammal,0.59
Mammal,0.42
Mammal,0.29
Mammal,0.37
Mammal,0.52
Mammal,0.20
Mammal,0.45
Mammal,0.77
Mammal,0.67
Mammal,0.21
Mammal,0.33
Mammal,0.24
Mammal,0.45
Mammal,0.40
Mammal,0.27
Mammal,0.10
Mammal,0.25
Mammal,0.47
Mammal,0.23
Mammal,0.48
Mammal,0.09
Mammal,0.42
Mammal,0.42
Mammal,0.47
Mammal,0.24
Mammal,0.63
Mammal,0.37
Mammal,0.42
Mammal,0.22
Mammal,0.69
Mammal,0.34
Mammal,0.74
Mammal,0.43
Mammal,0.54
Mammal,0.52
Mammal,0.31
Mammal,0.23
Mammal,0.74
Mammal,0.29
Mammal,0.42
Mammal,0.21
Mammal,0.58
Mammal,0.85
Mammal,0.41
Mammal,0.33
Mammal,0.15
Mammal,0.10
Mammal,0.42
Mammal,0.25
Mammal,0.28
Mammal,0.08
Mammal,0.33
Mammal,0.37
Mammal,0.33
Mammal,0.49
Mammal,0.49
Mammal,0.35
Mammal,0.51
Mammal,0.07
Mammal,0.46
Mammal,0.18
Mammal,0.38
Mammal,0.20
Mammal,0.23
Mammal,0.50
Mammal,0.62
Mammal,0.39
Mammal,0.42
Mammal,0.03
Mammal,0.31
Mammal,0.20
Mammal,0.34
Mammal,0.20
Mammal,0.43
Mammal,0.46
Mammal,0.37
Mammal,0.39
Mammal,0.51
Mammal,0.21
