Age,MortRate
Adult,0.37
Adult,0.38
Adult,0.38
Adult,0.38
Adult,0.38
Adult,0.38
Adult,0.38
Adult,0.38
Adult,0.38
Adult,0.38
Adult,0.38
Juvenile,0.38
Juvenile,0.38
Juvenile,0.38
Adult,0.39
Adult,0.39
Adult,0.39
Adult,0.39
Adult,0.39
Adult,0.39
Adult,0.39
Adult,0.39
Adult,0.39
Juvenile,0.39
Juvenile,0.39
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Adult,0.4
Juvenile,0.4
Juvenile,0.4
Juvenile,0.4
Juvenile,0.4
Juvenile,0.4
Juvenile,0.4
Adult,0.41
Adult,0.41
Adult,0.41
Adult,0.41
Adult,0.41
Adult,0.41
Adult,0.41
Adult,0.41
Juvenile,0.41
Juvenile,0.41
Adult,0.42
Adult,0.42
Adult,0.42
Adult,0.42
Adult,0.42
Adult,0.42
Adult,0.42
Juvenile,0.42
Juvenile,0.42
Juvenile,0.42
Juvenile,0.42
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Adult,0.43
Juvenile,0.43
Juvenile,0.43
Juvenile,0.43
Adult,0.44
Adult,0.44
Adult,0.44
Adult,0.44
Adult,0.44
Adult,0.44
Adult,0.44
Juvenile,0.44
Juvenile,0.44
Juvenile,0.44
Juvenile,0.44
Adult,0.45
Adult,0.45
Adult,0.45
Adult,0.45
Adult,0.45
Adult,0.45
Adult,0.45
Adult,0.45
Juvenile,0.45
Juvenile,0.45
Juvenile,0.45
Juvenile,0.45
Adult,0.46
Adult,0.46
Adult,0.46
Adult,0.46
Adult,0.46
Adult,0.46
Adult,0.46
Adult,0.46
Adult,0.46
Juvenile,0.46
Juvenile,0.46
Juvenile,0.46
Adult,0.47
Adult,0.47
Adult,0.47
Adult,0.47
Adult,0.47
Adult,0.47
Adult,0.47
Adult,0.47
Adult,0.47
Adult,0.47
Juvenile,0.47
Juvenile,0.47
Adult,0.48
Adult,0.48
Adult,0.48
Adult,0.48
Adult,0.48
Juvenile,0.48
Juvenile,0.48
Juvenile,0.48
Juvenile,0.48
Juvenile,0.48
Adult,0.49
Adult,0.49
Adult,0.49
Adult,0.49
Adult,0.49
Adult,0.49
Adult,0.49
Adult,0.49
Juvenile,0.49
Juvenile,0.49
Juvenile,0.49
Juvenile,0.49
Juvenile,0.49
Juvenile,0.49
Adult,0.5
